creditoBase,cliente,status,error
01010214116000,,actualizado,
01010214109460,,actualizado,
01010214116420,,actualizado,
01010214110270,,actualizado,
01010214115580,,actualizado,
01010214118900,,actualizado,
01010214114790,,actualizado,
01010214118880,,actualizado,
01010214118870,,actualizado,
01010214116590,,actualizado,
01010214117510,,actualizado,
01010214112460,,actualizado,
01010214114390,,actualizado,
01010214116850,,actualizado,
01010214113710,,actualizado,
01010214118760,,actualizado,
01010214117070,,actualizado,
01010214116390,,actualizado,
01010214114750,,actualizado,
01010214118040,,actualizado,
01010214116690,,actualizado,
01010214115650,,actualizado,
01010214111870,,actualizado,
01010214111860,,actualizado,
01010214116250,,actualizado,
01010214116580,,actualizado,
01010214115220,,actualizado,
01010214111640,,actualizado,
01010214116200,,actualizado,
01010214104370,,actualizado,
01010214111650,,actualizado,
01010214114070,,actualizado,
01010214109510,,actualizado,
01010214116660,,actualizado,
01010214116400,,actualizado,
01010214116870,,actualizado,
01010214109470,,actualizado,
01010214110400,,actualizado,
01010214111900,,actualizado,
01010214110240,,actualizado,
01010214111610,,actualizado,
01010214118930,,actualizado,
01010214112920,,actualizado,
01010214119050,,actualizado,
01010214116310,,actualizado,
01010214118950,,actualizado,
01010214109130,,actualizado,
01010214118980,,actualizado,
01010214110640,,actualizado,
01010202115520,,actualizado,
01010214109660,,actualizado,
01010214112040,,actualizado,
01010214118060,,actualizado,
01010214116210,,actualizado,
01010214112630,,actualizado,
01010202115010,,actualizado,
01010202105440,,actualizado,
01010214113670,,actualizado,
01010214117420,,actualizado,
01010214114380,,actualizado,
01010214114450,,actualizado,
01010214111720,,actualizado,
01010214114870,,actualizado,
01010214112690,,actualizado,
01010214111040,,actualizado,
01010214109960,,actualizado,
01010214118190,,actualizado,
01010214115600,,actualizado,
01010214109700,,actualizado,
01010214111000,,actualizado,
01010214111100,,actualizado,
01010214111460,,actualizado,
01010214111010,,actualizado,
01010214112490,,actualizado,
01010214111320,,actualizado,
01010214111330,,actualizado,
01010214111670,,actualizado,
01010214115570,,actualizado,
01010101001390,,actualizado,
01010214115630,,actualizado,
01010202110300,,actualizado,
01010202101100,,actualizado,
01010214117320,,actualizado,
01010214109840,,actualizado,
01010214116520,,actualizado,
01010214111880,,actualizado,
01010214112820,,actualizado,
01010214111170,,actualizado,
01010214111190,,actualizado,
01010214114680,,actualizado,
01010214118170,,actualizado,
01010214115690,,actualizado,
01010206104710,,actualizado,
01010214109380,,actualizado,
01010214114580,,actualizado,
01010214107460,,actualizado,
01010214112390,,actualizado,
01010214107060,,actualizado,
01010214110280,,actualizado,
01010214115860,,actualizado,
01010214114610,,actualizado,
01010214117990,,actualizado,
01010214112380,,actualizado,
01010202106640,,actualizado,
01010214114720,,actualizado,
01010214110800,,actualizado,
01010214113170,,actualizado,
01010214113210,,actualizado,
01010214110090,,actualizado,
01010214113350,,actualizado,
01010214115740,,actualizado,
01010214116290,,actualizado,
01010214116910,,actualizado,
01010214114710,,actualizado,
01010214115250,,actualizado,
01010214111780,,actualizado,
01010214116780,,actualizado,
01010214109910,,actualizado,
01010214112060,,actualizado,
01010214109390,,actualizado,
01010214113270,,actualizado,
01010214103800,,actualizado,
01010214105770,,actualizado,
01010214114690,,actualizado,
01010214115470,,actualizado,
01010214110470,,actualizado,
01010214119160,,actualizado,
01010214111810,,actualizado,
01010214119190,,actualizado,
01010214108440,,actualizado,
01010214114480,,actualizado,
01010214116450,,actualizado,
01010214115730,,actualizado,
01010214110660,,actualizado,
01010214110050,,actualizado,
01010214114660,,actualizado,
01010214118150,,actualizado,
01010214113740,,actualizado,
01010214112600,,actualizado,
01010214111030,,actualizado,
